name,type,start_time,duration,"data"
"TX","data",1.72243584,8.246e-05,0x74
"TX","data",1.72252264,8.246e-05,0x3A
"TX","data",1.72260944,8.246e-05,0x20
"TX","data",1.72269624,8.246e-05,0x46
"TX","data",1.72278304,8.246e-05,0x69
"TX","data",1.72286984,8.246e-05,0x72
"TX","data",1.72295664,8.246e-05,0x6D
"TX","data",1.72304344,8.246e-05,0x77
"TX","data",1.72313024,8.246e-05,0x61
"TX","data",1.72321704,8.246e-05,0x72
"TX","data",1.72330384,8.246e-05,0x65
"TX","data",1.72339064,8.246e-05,0x3A
"TX","data",1.72347744,8.246e-05,0x20
"TX","data",1.72356424,8.246e-05,0x76
"TX","data",1.72365104,8.246e-05,0x65
"TX","data",1.72373784,8.246e-05,0x72
"TX","data",1.72382464,8.246e-05,0x20
"TX","data",1.72391144,8.246e-05,0x30
"TX","data",1.72399824,8.246e-05,0x78
"TX","data",1.72408504,8.246e-05,0x31
"TX","data",1.72417184,8.246e-05,0x33
"TX","data",1.72425862,8.246e-05,0x2C
"TX","data",1.72434542,8.246e-05,0x20
"TX","data",1.72443222,8.246e-05,0x72
"TX","data",1.72451902,8.246e-05,0x65
"TX","data",1.72460582,8.246e-05,0x76
"TX","data",1.72469262,8.246e-05,0x20
"TX","data",1.72477942,8.246e-05,0x30
"TX","data",1.72486622,8.246e-05,0x30
"TX","data",1.72495302,8.246e-05,0x2E
"TX","data",1.72503982,8.246e-05,0x0D
"TX","data",1.72512662,8.246e-05,0x0A
"TX","data",1.72521342,8.246e-05,0x61
"TX","data",1.72530022,8.246e-05,0x6E
"TX","data",1.72538702,8.246e-05,0x78
"TX","data",1.72547382,8.246e-05,0x37
"TX","data",1.72556062,8.246e-05,0x36
"TX","data",1.72564742,8.246e-05,0x32
"TX","data",1.72573422,8.246e-05,0x35
"TX","data",1.72582102,8.246e-05,0x5F
"TX","data",1.72590782,8.246e-05,0x69
"TX","data",1.72599462,8.246e-05,0x6E
"TX","data",1.72608142,8.246e-05,0x69
"TX","data",1.72616822,8.246e-05,0x74
"TX","data",1.72625502,8.246e-05,0x3A
"TX","data",1.72634182,8.246e-05,0x20
"TX","data",1.72642862,8.246e-05,0x50
"TX","data",1.72651542,8.246e-05,0x6F
"TX","data",1.72660222,8.246e-05,0x77
"TX","data",1.72668902,8.246e-05,0x65
"TX","data",1.72677582,8.246e-05,0x72
"TX","data",1.72686262,8.246e-05,0x69
"TX","data",1.72694942,8.246e-05,0x6E
"TX","data",1.72703622,8.246e-05,0x67
"TX","data",1.72712302,8.246e-05,0x20
